word,frequency
freedom,54
getting,54
aloud,54
knowing,54
die,54
asleep,54
cut,53
appeared,53
repeat,53
also,53
thy,53
happen,53
polouse,53
able,53
blame,53
jealou,53
moved,52
entered,52
decided,52
cold,52
coffin,52
superior,52
wall,52
happiness,52
jumped,52
damn,52
guilty,52
defense,51
relation,51
lived,51
duty,51
led,51
except,51
scarcely,51
ly,51
trial,51
showed,50
extraordinary,50
instantly,50
watch,50
anger,50
followed,50
shame,50
reached,50
married,49
action,49
desire,49
complete,49
died,49
sorry,49
youth,49
best,49
awfully,49
convinced,49
instead,49
held,49
clock,49
raised,49
hour,49
samsonov,48
play,48
return,48
impression,48
school,48
bad,48
interest,48
asking,48
respect,48
excited,48
frightened,48
paper,48
high,47
le,47
petersburg,47
altogether,47
whose,47
lot,47
near,47
six,47
wrote,47
passage,47
thief,47
trembling,47
priest,47
perezvon,47
pleased,46
listening,46
service,46
evil,46
shoulder,46
flung,46
official,45
contempt,45
deal,45
explained,45
knee,45
understood,45
nose,45
pray,45
power,45
confes,45
wrong,45
trouble,45
didst,45
despair,45
white,45
excitement,45
pistol,45
line,45
firmly,45
signal,45
trifon,45
third,44
although,44
likely,44
imagine,44
expected,44
remained,44
low,44
pride,44
evidently,44
sight,44
beyond,44
fire,44
pillow,44
carry,43
fatal,43
declared,43
special,43
large,43
try,43
flew,43
dressed,43
quiet,43
sound,43
fence,43
ippolit,43
plan,42
rich,42
beat,42
simple,42
cause,42
grown,42
pity,42
beforehand,42
running,42
threw,42
alive,41
change,41
pay,41
black,41
justice,41
fixed,41
chief,41
dinner,41
rose,41
sweet,41
betrothed,41
wine,41
agrafena,41
pestle,41
kirillovitch,41
meeting,40
anxiou,40
according,40
finished,40
tone,40
admit,40
anyway,40
follow,40
leg,40
worse,40
prison,40
interrupted,40
hatred,40
uttered,40
dance,40
free,40
pan,40
committed,40
hard,39
alexandrovitch,39
terror,39
hair,39
laid,39
prayer,39
grief,39
wondered,39
curiosity,39
delighted,39
covered,39
softly,39
bottle,39
sleep,39
tchermashnya,39
alexandrovna,39
ha,39
andrey,39
borissovitch,39
confession,38
passion,38
exist,38
fine,38
strength,38
peace,38
violent,38
circumstance,38
childhood,38
inquiry,38
innocent,38
appearance,38
presence,38
seized,38
humanity,38
conclusion,38
crazy,38
siberium,38
sick,38
expecting,38
saved,38
merchant,38
seat,38
aside,38
walk,38
begun,38
hidden,38
handkerchief,38
mystery,38
market,38
swear,38
gold,37
escape,37
spot,37
liked,37
unable,37
described,37
bound,37
waited,37
decide,37
big,37
watching,37
mercy,37
breast,37
despise,37
mad,37
stop,37
marya,37
ferapont,36
probably,36
hearted,36
exactly,36
widow,36
unexpected,36
changed,36
wild,36
nervou,36
condition,36
suffer,36
please,36
thin,36
charming,36
weep,36
yard,36
neck,36
smiling,36
hate,36
obviously,36
preciou,36
suspicion,36
whispered,36
public,36
apparently,35
greatly,35
baby,35
motive,35
keeping,35
eight,35
illnes,35
bow,35
throw,35
learned,35
memory,35
accept,35
bowed,35
hell,35
somewhere,35
weeping,35
arrived,35
law,35
proof,35
whatever,35
panie,35
breath,34
peculiar,34
noble,34
beauty,34
husband,34
leaving,34
news,34
attack,34
acquaintance,34
expect,34
ear,34
blow,34
teacher,34
seven,34
within,34
path,34
grave,34
somehow,34
promise,34
joke,34
seriou,34
whisper,34
fly,34
clearly,34
fate,34
reading,34
brain,34
move,34
knocked,34
disgrace,34
cart,34
stolen,34
affair,33
twice,33
clas,33
dignity,33
giving,33
image,33
drunken,33
hermitage,33
break,33
red,33
counsel,33
warmly,33
passing,33
beard,33
insulted,33
slowly,33
loving,33
remain,33
continually,33
hurry,33
delight,33
catch,32
deep,32
occasion,32
carriage,32
refuse,32
fully,32
middle,32
thirty,32
lose,32
perfect,32
nice,32
shaking,32
burst,32
boot,32
herzenstube,32
human,32
road,32
phrase,32
act,32
brandy,31
shouting,31
charge,31
interested,31
statement,31
notice,31
natural,31
extremely,31
add,31
crowd,31
shout,31
clothe,31
darling,31
broken,31
apart,31
fancied,31
ceased,31
touched,31
confessed,31
horror,31
silly,31
fault,31
bench,31
monster,31
champagne,31
investigating,31
ius,30
iius,30
kuzma,30
perhotin,30
alarm,30
lead,30
succeeded,30
moral,30
hearing,30
grew,30
offer,30
mistres,30
expressed,30
early,30
wonder,30
knowledge,30
conviction,30
decision,30
excuse,30
meaning,30
endure,30
effect,30
hid,30
enemy,30
rise,30
ignatyevna,30
beast,30
tea,30
buffoon,29
gloomy,29
form,29
due,29
regular,29
mention,29
touch,29
visited,29
difficult,29
interesting,29
influence,29
terribly,29
higher,29
candle,29
promised,29
hurriedly,29
reply,29
flower,29
guest,29
bles,29
favor,29
beating,29
fever,29
christian,29
